Year,Age,Female,Male,Total
2021,0,0.005040419,0.005833169,0.005445689
2021,1,0.00038861,0.000415918,0.000402571
2021,2,0.000233539,0.000274023,0.000254237
2021,3,0.000158201,0.000224096,0.000191887
2021,4,0.000146922,0.000175149,0.00016135
2021,5,0.000124078,0.000160839,0.000142866
2021,6,0.000109461,0.000149466,0.000129909
2021,7,9.99799E-05,0.000137253,0.000119035
2021,8,9.44624E-05,0.000119196,0.000107113
2021,9,9.29005E-05,9.79525E-05,9.54861E-05
2021,10,9.64412E-05,8.37289E-05,8.99308E-05
2021,11,0.000107204,9.28073E-05,9.98269E-05
2021,12,0.000127752,0.000143787,0.000135971
2021,13,0.000159574,0.000247579,0.000204669
2021,14,0.000200732,0.000392404,0.000298894
2021,15,0.000247486,0.000555668,0.000405212
2021,16,0.00029696,0.000719452,0.000513053
2021,17,0.000349344,0.000884652,0.000622979
2021,18,0.000403485,0.001044164,0.000730828
2021,19,0.000459179,0.001198871,0.000836958
2021,20,0.000520179,0.001360826,0.00094932
2021,21,0.000583591,0.001526769,0.00106481
2021,22,0.000641475,0.001677645,0.001169851
2021,23,0.000690232,0.00180537,0.001258579
2021,24,0.0007331,0.001914536,0.001334921
2021,25,0.00077369,0.002014757,0.001405609
2021,26,0.000819573,0.002116333,0.00147952
2021,27,0.000875869,0.002221297,0.001560035
2021,28,0.00094614,0.002333762,0.001650916
2021,29,0.001026434,0.002450804,0.001748834
2021,30,0.00111092,0.002569061,0.001849254
2021,31,0.001193865,0.002682443,0.001946535
2021,32,0.001275047,0.002788676,0.002039701
2021,33,0.001353768,0.00288668,0.002128043
2021,34,0.001433123,0.002981661,0.002215563
2021,35,0.001518099,0.003080693,0.002308091
2021,36,0.001610699,0.003189677,0.002409243
2021,37,0.001709187,0.003310398,0.002518839
2021,38,0.001813562,0.003446067,0.002638273
2021,39,0.001924543,0.003597174,0.002768257
2021,40,0.002048464,0.00377214,0.002916491
2021,41,0.002183071,0.00396381,0.003078485
2021,42,0.002320915,0.004158394,0.003243525
2021,43,0.002461267,0.004352531,0.003409653
2021,44,0.002611198,0.004559839,0.003587225
2021,45,0.002783825,0.004799497,0.003792021
2021,46,0.002984095,0.0050898,0.004035839
2021,47,0.003203482,0.005430995,0.004315249
2021,48,0.003435502,0.005818386,0.004625073
2021,49,0.003679805,0.006240865,0.004959341
2021,50,0.003935024,0.006679445,0.005307621
2021,51,0.004217341,0.007151383,0.005685652
2021,52,0.004544211,0.007689757,0.006117654
2021,53,0.004927776,0.00831612,0.006619505
2021,54,0.005361374,0.009022964,0.007184223
2021,55,0.00580903,0.009754044,0.007766469
2021,56,0.006273765,0.01050987,0.008369085
2021,57,0.006795171,0.011349979,0.009041761
2021,58,0.007382661,0.012284765,0.009794997
2021,59,0.008019533,0.013286473,0.010606326
2021,60,0.008702824,0.014341271,0.011466973
2021,61,0.009395516,0.015401572,0.01233348
2021,62,0.01006581,0.016436864,0.013173463
2021,63,0.010706065,0.017445434,0.013980743
2021,64,0.011354476,0.018474648,0.014797933
2021,65,0.012040892,0.019575819,0.015665691
2021,66,0.012879957,0.020927275,0.016725669
2021,67,0.013820888,0.02230297,0.017852839
2021,68,0.014915268,0.023803994,0.019122176
2021,69,0.016187539,0.025382772,0.020525804
2021,70,0.017475337,0.026908044,0.021919381
2021,71,0.018963683,0.028703658,0.023536447
2021,72,0.020615546,0.030788198,0.025372466
2021,73,0.022603087,0.033360813,0.027616244
2021,74,0.02464723,0.035944004,0.029889062
2021,75,0.027932864,0.040496588,0.03372582
2021,76,0.030922297,0.044053275,0.036933456
2021,77,0.034536257,0.0488097,0.041016344
2021,78,0.037857007,0.053173266,0.04475826
2021,79,0.041967031,0.058908235,0.049530111
2021,80,0.04633566,0.063953511,0.054119721
2021,81,0.051084407,0.070310861,0.05948253
2021,82,0.056608099,0.076958485,0.06540139
2021,83,0.06288071,0.084812716,0.072224371
2021,84,0.070582315,0.09449961,0.080608517
2021,85,0.07914903,0.104319192,0.089139231
2021,86,0.087870203,0.116428398,0.099585749
2021,87,0.098711804,0.129619226,0.111021198
2021,88,0.110635363,0.143913642,0.123483829
2021,89,0.123685539,0.159316808,0.137000516
2021,90,0.137893319,0.175814122,0.151583865
2021,91,0.15327245,0.193368629,0.167229444
2021,92,0.169815958,0.211919174,0.183913291
2021,93,0.187492996,0.231379345,0.201589778
2021,94,0.206246272,0.251637667,0.220190302
2021,95,0.225990623,0.272559077,0.239622787
2021,96,0.246612743,0.293987781,0.25977245
2021,97,0.26797235,0.315751463,0.280503511
2021,98,0.289905161,0.337666482,0.301662475
2021,99,0.312227279,0.359544098,0.323082149
2021,100,1,1,1
